Comment,Designator,Footprint,LCSC Part #
22uF/25V,C1,C1206,C12891
22uF/25V,C2,C0805,C45783
10nF,"C3,C7",C0402,C15195
10uF,C4,C0805,C15850
100nF,C5,C0603,C14663
1uF,C6,C0402,C52923
SS34,D1,SMA_L4.3-W2.6-LS5.2-RD,C8678
10uH 6A,L1,IND-SMD_L7.0-W6.6,C237927
AO3400A,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917
25.5k 1%,R1,R0603,C273793
10k,"R2,R3,R5,R7,R8",R0603,C25804
220R,"R4,R6",R0603,C22962
MP2307DN-LF-Z,U1,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C18921
ESP32-C3-MINI-1-H4,U2,WIFIM-SMD_ESP32-C3-MINI-1,C2934569
