Designator,Mid X,Mid Y,Layer,Rotation
C1,104.5000,114.5000,Top,0.0
C2,126.5000,103.5000,Top,0.0
C3,111.5000,119.5000,Top,0.0
C4,130.5000,110.0000,Top,90.0
C5,133.5000,110.0000,Top,90.0
C6,125.5000,118.7500,Top,0.0
C7,121.0000,105.0000,Top,0.0
D1,104.5000,110.0000,Top,0.0
L1,121.5000,110.0000,Top,0.0
Q1,154.5000,109.5000,Top,0.0
Q2,154.5000,114.0000,Top,0.0
R1,127.5000,115.2500,Top,90.0
R2,130.5000,115.0000,Top,90.0
R3,133.5000,113.5000,Top,90.0
R4,154.5000,104.0000,Top,0.0
R5,154.5000,106.5000,Top,0.0
R6,154.5000,119.5000,Top,0.0
R7,154.5000,117.0000,Top,0.0
R8,118.0000,105.0000,Top,0.0
U1,113.0000,110.0000,Top,0.0
U2,144.0000,112.0000,Top,0.0
